Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,CompareOHLCV,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
915,VN30F1M,915,2020-05-20 04:00:00,799.0,801.4,798.3,799.5,17665.0,,CompareOHLCV,915,,737565.1666666666,Value,915,2051218000.0000002,Broker,915,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,915,,,DrawDown,915,0.8643842283346823,12.665865767793717,BuySell,915,,
916,VN30F1M,916,2020-05-20 04:30:00,799.5,799.6,799.5,799.6,44.0,,CompareOHLCV,916,,737565.1875,Value,916,2051218000.0000002,Broker,916,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,916,,,DrawDown,916,0.8643842283346823,12.665865767793717,BuySell,916,,
917,VN30F1M,917,2020-05-20 06:00:00,799.0,800.9,796.6,799.8,17658.0,,CompareOHLCV,917,,737565.25,Value,917,2051218000.0000002,Broker,917,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,917,,,DrawDown,917,0.8643842283346823,12.665865767793717,BuySell,917,,
918,VN30F1M,918,2020-05-20 06:30:00,799.7,803.6,798.2,800.3,25579.0,,CompareOHLCV,918,,737565.2708333334,Value,918,2051218000.0000002,Broker,918,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,918,,,DrawDown,918,0.8643842283346823,12.665865767793717,BuySell,918,,
919,VN30F1M,919,2020-05-20 07:00:00,800.9,805.0,799.2,804.7,23013.0,,CompareOHLCV,919,,737565.2916666666,Value,919,2051218000.0000002,Broker,919,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,919,,,DrawDown,919,0.8643842283346823,12.665865767793717,BuySell,919,,
920,VN30F1M,920,2020-05-20 07:30:00,804.5,807.5,804.5,807.5,3713.0,,CompareOHLCV,920,,737565.3125,Value,920,2051218000.0000002,Broker,920,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,920,,,DrawDown,920,0.8643842283346823,12.665865767793717,BuySell,920,,
921,VN30F1M,921,2020-05-21 02:00:00,807.7,809.4,806.7,808.1,9652.0,,CompareOHLCV,921,,737566.0833333334,Value,921,2051218000.0000002,Broker,921,2051218000.0000002,2051218000.0000002,Trades - Net Profit/Loss,921,,,DrawDown,921,0.8643842283346823,12.665865767793717,BuySell,921,,
922,VN30F1M,922,2020-05-21 02:30:00,808.2,810.4,807.2,808.0,9493.0,,CompareOHLCV,922,,737566.1041666666,Value,922,2049223000.0,Broker,922,2049222930.0,2049223000.0,Trades - Net Profit/Loss,922,,,DrawDown,922,0.96080282131919,12.665865767793717,BuySell,922,808.2,
923,VN30F1M,923,2020-05-21 03:00:00,808.0,810.2,807.7,809.2,6880.0,,CompareOHLCV,923,,737566.125,Value,923,2057623000.0000002,Broker,923,2057622930.0000002,2057623000.0000002,Trades - Net Profit/Loss,923,,,DrawDown,923,0.554829798226563,12.665865767793717,BuySell,923,,
924,VN30F1M,924,2020-05-21 03:30:00,809.0,809.3,806.7,808.8,8117.0,,CompareOHLCV,924,,737566.1458333334,Value,924,2055628000.0,Broker,924,2055628000.0,2055628000.0,Trades - Net Profit/Loss,924,4409999.9999996815,,DrawDown,924,0.6512483912110707,12.665865767793717,BuySell,924,,809.0
925,VN30F1M,925,2020-05-21 04:00:00,809.1,811.0,808.7,810.6,10209.0,,CompareOHLCV,925,,737566.1666666666,Value,925,2055628000.0,Broker,925,2055628000.0,2055628000.0,Trades - Net Profit/Loss,925,,,DrawDown,925,0.6512483912110707,12.665865767793717,BuySell,925,,
926,VN30F1M,926,2020-05-21 04:30:00,810.4,810.7,810.4,810.7,54.0,,CompareOHLCV,926,,737566.1875,Value,926,2055628000.0,Broker,926,2055628000.0,2055628000.0,Trades - Net Profit/Loss,926,,,DrawDown,926,0.6512483912110707,12.665865767793717,BuySell,926,,
927,VN30F1M,927,2020-05-21 06:00:00,809.8,813.9,809.3,813.2,12317.0,,CompareOHLCV,927,,737566.25,Value,927,2055628000.0,Broker,927,2055628000.0,2055628000.0,Trades - Net Profit/Loss,927,,,DrawDown,927,0.6512483912110707,12.665865767793717,BuySell,927,,
928,VN30F1M,928,2020-05-21 06:30:00,813.4,813.9,809.5,811.6,13750.0,,CompareOHLCV,928,,737566.2708333334,Value,928,2055628000.0,Broker,928,2055628000.0,2055628000.0,Trades - Net Profit/Loss,928,,,DrawDown,928,0.6512483912110707,12.665865767793717,BuySell,928,,
929,VN30F1M,929,2020-05-21 07:00:00,811.9,812.0,805.1,808.0,15329.0,,CompareOHLCV,929,,737566.2916666666,Value,929,2055628000.0,Broker,929,2055628000.0,2055628000.0,Trades - Net Profit/Loss,929,,,DrawDown,929,0.6512483912110707,12.665865767793717,BuySell,929,,
